graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_hopcroft
er,50,50,100,21,0.0084,0.42,3,0.4636,0.7366666666666666,0.01,0,50010787,14,14,14,14.0,14.0,8.840988783890563,case1,14,0.0,0.0,6.180180614534743,72,720,720,832,0.5,4,93,1.0,1.0,1.0,0.0,0.0,5.1000097300857306e-06,2.7000060072168708e-06,0.0025293000071542338,0.0005151999939698726
er,50,50,100,21,0.0084,0.42,2,0.3436,0.6680952380952381,0.01,1,50020787,17,17,17,17.0,17.0,10.170350977288496,case1,17,0.0,0.0,2.0470748124869633,66,660,660,796,0.5,4,93,1.0,1.0,1.0,0.0,0.0,4.6000059228390455e-06,3.000008291564882e-06,0.0023244000039994717,0.00011809999705292284
er,50,50,100,19,0.0076,0.38,2,0.2756,0.6578947368421053,0.01,2,50030787,17,17,17,17.0,17.0,9.959356526147936,case1,17,0.0,0.0,0.00953215037092292,66,660,660,796,0.5,4,93,1.0,1.0,1.0,0.0,0.0,4.0000013541430235e-06,2.4000037228688598e-06,0.002172499996959232,9.48999950196594e-05
er,50,50,100,18,0.0072,0.36,3,0.3904,0.7561111111111112,0.01,3,50040787,13,11,12,11.0,11.0,8.463752304684709,case1,11,0.0,0.0,19.507825665729285,78,780,780,868,0.5,4,93,0.8461538461538461,0.9230769230769231,0.8461538461538461,-2.0,-0.15384615384615385,4.1000021155923605e-06,2.0999868866056204e-06,0.004201699994155206,0.00022110001009423286
er,50,50,100,26,0.0104,0.52,3,0.4096,0.6034615384615385,0.01,4,50050787,21,20,21,20.0,20.0,12.270178670663693,case1,20,0.0,0.0,5.354242047981847,60,600,600,760,0.5,4,93,0.9523809523809523,1.0,0.9523809523809523,-1.0,-0.047619047619047616,1.5300000086426735e-05,4.0000013541430235e-06,0.002749999999650754,0.00015259999781847
er,50,50,100,133,0.0532,2.66,8,2.2044,0.3051879699248121,0.05,0,50050787,44,37,35,33.0,33.0,31.601779327586897,case1,33,0.0,0.0,118.49758675787945,34,340,340,604,0.5,4,93,0.8409090909090909,0.7954545454545454,0.75,-11.0,-0.25,1.0400006431154907e-05,7.499998901039362e-06,0.02013259999512229,0.00024780000967439264
er,50,50,100,139,0.0556,2.78,7,2.1116,0.28741007194244594,0.05,1,50060787,46,38,38,40.0,40.0,30.16376840467082,case1,40,0.0,0.0,65.0129451196542,20,200,200,520,0.5,4,93,0.8260869565217391,0.8260869565217391,0.8695652173913043,-6.0,-0.13043478260869565,1.0399991879239678e-05,8.000002708286047e-06,0.011753800004953519,0.00029030001314822584
er,50,50,100,129,0.0516,2.58,7,2.6836,0.3527131782945736,0.05,2,50070787,44,38,38,35.0,35.0,32.08735516822793,case1,35,0.0,0.0,111.87301337903988,30,300,300,580,0.5,4,93,0.8636363636363636,0.8636363636363636,0.7954545454545454,-9.0,-0.20454545454545456,1.1399999493733048e-05,9.099996532313526e-06,0.019245899995439686,0.00023790000705048442
er,50,50,100,124,0.0496,2.48,8,2.3296,0.3306451612903225,0.05,3,50080787,41,37,34,38.0,38.0,30.171926648189526,case1,38,0.0,0.0,76.405436587231,24,240,240,544,0.5,4,93,0.9024390243902439,0.8292682926829268,0.926829268292683,-3.0,-0.07317073170731707,9.60000033956021e-06,7.199996616691351e-06,0.009609200002159923,0.00022519999765791
er,50,50,100,121,0.0484,2.42,6,1.9836,0.31404958677685957,0.05,4,50090787,45,39,38,38.0,38.0,33.1039366425984,case1,38,0.0,0.0,104.71942976129243,24,240,240,544,0.5,4,93,0.8666666666666667,0.8444444444444444,0.8444444444444444,-7.0,-0.15555555555555556,1.2899996363557875e-05,8.699993486516178e-06,0.010987799993017688,0.0005071000050520524
er,50,50,100,260,0.104,5.2,12,4.42,0.22296153846153843,0.1,0,50100787,50,45,44,45.0,45.0,34.74672744596753,case1,45,0.0,0.0,80.98564136538799,10,100,100,460,0.5,4,93,0.9,0.88,0.9,-5.0,-0.1,1.5099998563528061e-05,1.1199997970834374e-05,0.012283699994441122,0.00020640000002458692
er,50,50,100,247,0.0988,4.94,12,3.1764,0.19639676113360327,0.1,1,50110787,50,41,43,43.0,43.0,37.40698344720612,case1,43,0.0,0.0,117.98905433467127,14,140,140,484,0.5,4,93,0.82,0.86,0.86,-7.0,-0.14,1.3999990187585354e-05,1.0700008715502918e-05,0.016067700009443797,0.00029569999605882913
er,50,50,100,260,0.104,5.2,11,3.44,0.1970384615384615,0.1,2,50120787,50,43,40,42.0,42.0,36.932879164621795,case1,42,0.0,0.0,119.06755262818663,16,160,160,496,0.5,4,93,0.86,0.8,0.84,-8.0,-0.16,1.340000017080456e-05,1.09999964479357e-05,0.01521080000384245,0.0002570999931776896
er,50,50,100,246,0.0984,4.92,10,3.8735999999999997,0.22113821138211387,0.1,3,50130787,50,43,42,44.0,44.0,35.36823924133251,case1,44,0.0,0.0,92.64434443706034,12,120,120,472,0.5,4,93,0.86,0.84,0.88,-6.0,-0.12,1.6900012269616127e-05,1.1100011761300266e-05,0.013658299998496659,0.0005364999960875139
er,50,50,100,232,0.0928,4.64,10,4.7703999999999995,0.26349137931034483,0.1,4,50140787,50,42,40,45.0,45.0,33.080330733860755,case1,45,0.0,0.0,64.89349119473954,10,100,100,460,0.5,4,93,0.84,0.8,0.9,-5.0,-0.1,1.5400000847876072e-05,1.060000795405358e-05,0.013350399996852502,0.0004910999996354803
er,100,100,200,104,0.0104,1.04,6,1.0384,0.49057692307692324,0.01,0,100010787,60,59,57,57.0,57.0,40.82057618373808,case1,57,0.0,0.0,71.75766236559294,86,860,860,1316,0.5,4,150,0.9833333333333333,0.95,0.95,-3.0,-0.05,1.0899995686486363e-05,8.500006515532732e-06,0.01171349998912774,0.0002615999983390793
er,100,100,200,100,0.01,1.0,4,0.96,0.52725,0.01,1,100020787,53,46,44,50.0,50.0,37.806164128520635,case1,50,0.0,0.0,82.24590424689193,100,1000,1000,1400,0.5,4,150,0.8679245283018868,0.8301886792452831,0.9433962264150944,-3.0,-0.05660377358490566,1.0200004908256233e-05,7.800001185387373e-06,0.009126299992203712,0.00027489999774843454
er,100,100,200,94,0.0094,0.94,4,0.8964,0.5354255319148937,0.01,2,100030787,53,48,46,49.0,49.0,36.082102123073376,case1,49,0.0,0.0,71.2537429926926,102,1020,1020,1412,0.5,4,150,0.9056603773584906,0.8679245283018868,0.9245283018867925,-4.0,-0.07547169811320754,1.4999997802078724e-05,9.099996532313526e-06,0.009524900000542402,0.00025379999715369195
er,100,100,200,113,0.0113,1.13,5,1.0531,0.4807964601769912,0.01,3,100040787,58,52,51,55.0,55.0,40.75249050320498,case1,55,0.0,0.0,82.41387737119204,90,900,900,1340,0.5,4,150,0.896551724137931,0.8793103448275862,0.9482758620689655,-3.0,-0.05172413793103448,1.0400006431154907e-05,7.800001185387373e-06,0.012797600007615983,0.0002972000074805692
