graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,105,0.042,2.0,2.1,6,1.91,0.3655238095238096,0.04,0,50320787,40,35,39,35.0,35.0,29.174794235871417,case1,35,0.0,0.0,334.9873478500296,30,1170,1170,2290,0.3,16,93,0.875,0.975,0.875,-5.0,-0.125,8.400005754083395e-06,6.699992809444666e-06,0.03498319999198429,0.00038930002483539283,0.0009553000272717327,0.033594499982427806,4.409995744936168e-05,0.0006689000001642853
er,50,50,100,88,0.0352,2.0,1.76,6,2.0624000000000002,0.4479545454545455,0.04,1,50330787,35,31,32,34.0,34.0,23.660458392111313,case1,34,0.0,0.0,144.6102147442276,32,1248,1248,2336,0.3,16,93,0.8857142857142857,0.9142857142857143,0.9714285714285714,-1.0,-0.02857142857142857,8.500006515532732e-06,6.400019628927112e-06,0.020337099995231256,0.0004765000194311142,0.0010412999836262316,0.01877650001551956,4.279997665435076e-05,0.0001677999971434474
er,50,50,100,84,0.0336,2.0,1.68,6,1.7976,0.4385714285714286,0.04,2,50340787,37,34,31,34.0,34.0,26.034057611307308,case1,34,0.0,0.0,236.29622157016615,32,1248,1248,2336,0.3,16,93,0.918918918918919,0.8378378378378378,0.918918918918919,-3.0,-0.08108108108108109,6.400019628927112e-06,4.8999791033566e-06,0.02282700000796467,0.0002376000047661364,0.0007070999999996275,0.021848400007002056,3.3899996196851134e-05,0.00017670000670477748
er,50,50,100,102,0.0408,2.0,2.04,6,1.5784,0.3359803921568627,0.04,3,50350787,40,34,33,36.0,36.0,32.1582569395686,case1,36,0.0,0.0,427.603388805661,28,1092,1092,2244,0.3,16,93,0.85,0.825,0.9,-4.0,-0.1,9.100011084228754e-06,7.199996616691351e-06,0.047090400010347366,0.0004219000111334026,0.0008219000010285527,0.045795399986673146,5.120001151226461e-05,0.00020100001711398363
er,50,50,100,84,0.0336,2.0,1.68,4,1.2776,0.37345238095238087,0.04,4,50360787,37,33,33,32.0,32.0,28.92236079780293,case1,32,0.0,0.0,393.11874716743574,36,1404,1404,2428,0.3,16,93,0.8918918918918919,0.8918918918918919,0.8648648648648649,-5.0,-0.13513513513513514,7.499998901039362e-06,5.4000120144337416e-06,0.04257520000101067,0.00042440000106580555,0.0007597999938298017,0.04135270000551827,3.8300000596791506e-05,0.00015390000771731138
er,50,50,100,102,0.0408,2.0,2.04,5,1.9384,0.37735294117647067,0.04,5,50370787,41,36,34,35.0,35.0,29.781800885509465,case1,35,0.0,0.0,358.43444682613887,30,1170,1170,2290,0.3,16,93,0.8780487804878049,0.8292682926829268,0.8536585365853658,-6.0,-0.14634146341463414,1.0499992640689015e-05,8.300004992634058e-06,0.04560250000213273,0.00043149999692104757,0.0007536000048276037,0.04436500000883825,5.23999915458262e-05,0.00016549997963011265
er,50,50,100,106,0.0424,2.0,2.12,6,1.9456,0.3580188679245282,0.04,6,50380787,41,35,35,34.0,34.0,30.4200561685173,case1,34,0.0,0.0,405.7160167920091,32,1248,1248,2336,0.3,16,93,0.8536585365853658,0.8536585365853658,0.8292682926829268,-7.0,-0.17073170731707318,9.899988071992993e-06,7.100024959072471e-06,0.053774100000737235,0.0004783000040333718,0.0008155999821610749,0.05242819999693893,5.2000017603859305e-05,0.00020340000628493726
er,50,50,100,90,0.036,2.0,1.8,6,2.06,0.4441111111111111,0.04,7,50390787,37,31,32,32.0,32.0,25.758062523641744,case1,32,0.0,0.0,270.89007822545625,36,1404,1404,2428,0.3,16,93,0.8378378378378378,0.8648648648648649,0.8648648648648649,-5.0,-0.13513513513513514,1.0100018698722124e-05,7.399998139590025e-06,0.028511299984529614,0.00033799998345784843,0.0008175999973900616,0.02730590000282973,4.980000085197389e-05,0.0001635999942664057
er,50,50,100,101,0.0404,2.0,2.02,6,1.5596,0.33079207920792086,0.04,8,50400787,42,39,34,39.0,39.0,29.35643967001508,case1,39,0.0,0.0,251.49417378859616,22,858,858,2106,0.3,16,93,0.9285714285714286,0.8095238095238095,0.9285714285714286,-3.0,-0.07142857142857142,8.100003469735384e-06,6.199989002197981e-06,0.03189000001293607,0.0002893000200856477,0.0007000999758020043,0.030858100013574585,4.25000034738332e-05,0.00015800000983290374
er,50,50,100,113,0.0452,2.0,2.26,7,2.2723999999999998,0.3669911504424779,0.04,9,50410787,40,36,35,38.0,38.0,29.489430393204117,case1,38,0.0,0.0,279.2586789080501,24,936,936,2152,0.3,16,93,0.9,0.875,0.95,-2.0,-0.05,9.399984264746308e-06,6.499991286545992e-06,0.03403809998417273,0.0003281999961473048,0.0007642999989911914,0.03289299999596551,5.259999306872487e-05,0.0001747000205796212
er,50,50,100,94,0.0376,2.0,1.88,7,1.7656,0.37531914893617024,0.04,10,50420787,39,32,35,33.0,33.0,28.415535266081356,case1,33,0.0,0.0,350.9139690104392,34,1326,1326,2382,0.3,16,93,0.8205128205128205,0.8974358974358975,0.8461538461538461,-6.0,-0.15384615384615385,9.69998654909432e-06,9.100011084228754e-06,0.03984749998198822,0.00046140002086758614,0.0007759000000078231,0.038563899986911565,4.6299974201247096e-05,0.0001742000167723745
er,50,50,100,87,0.0348,2.0,1.74,7,2.2523999999999997,0.4710344827586206,0.04,11,50430787,34,31,27,30.0,30.0,25.196853831168085,case1,30,0.0,0.0,294.46687003432993,40,1560,1560,2520,0.3,16,93,0.9117647058823529,0.7941176470588235,0.8823529411764706,-4.0,-0.11764705882352941,6.499991286545992e-06,4.799978341907263e-06,0.03242520001367666,0.000311699986923486,0.0007277000113390386,0.03135040000779554,3.540000761859119e-05,0.00016820000018924475
