graph_family,n,num_trials,average_edges,mean_greedy_ratio,mean_modern_ratio,mean_greedy_runtime,mean_modern_runtime,mean_hopcroft_runtime
er,50,100,614.96,0.9290529410301241,0.9286006816475754,2.1814000501763075e-05,0.1300971940002637,0.0004015650021028705
er,100,100,1243.92,0.9210563511884848,0.9208095007493293,3.968300094129518e-05,0.2672379289983655,0.0007436809994396754
er,250,100,3102.11,0.9162701463942287,0.9160235822228747,9.957899892469868e-05,0.45077193500183055,0.001931083999807015
er,500,100,6210.7,0.9178406068678314,0.91659328474926,0.00021729899861384184,0.6545597619996988,0.004309195001260377
er,1000,100,12392.38,0.9148832481942506,0.9155091943466411,0.0004789070031256415,0.9931805919998442,0.009493370000564027
powerlaw,50,100,620.0,0.8353931902847256,0.8211338443807887,2.288900053827092e-05,0.29680348199850415,0.00039737300103297456
powerlaw,100,100,1240.0,0.8058225143350859,0.785488307245962,3.8757998845539986e-05,0.551754761999764,0.0007969499999308027
powerlaw,250,100,3100.0,0.7913546690287953,0.7703349985086249,9.608599793864414e-05,2.053673903000599,0.002445319998951163
powerlaw,500,100,6200.0,0.7983202100457971,0.7711452030102436,0.00017264299880480392,5.167478970001103,0.004694124000379816
powerlaw,1000,100,12400.0,0.8050456862070442,0.7783248522942059,0.00041380800161277875,12.428097476000257,0.009912198000238277
sqrtreg,50,20,400.0,0.911,0.927,1.861499767983332e-05,0.11222298999928171,0.00029981000116094945
sqrtreg,100,20,1000.0,0.9305,0.94,3.37450037477538e-05,0.24272890500287758,0.0006262950002565049
sqrtreg,250,20,4000.0,0.954,0.9603999999999999,0.00010145999694941566,0.6429538400014281,0.002316160000918899
sqrtreg,500,20,11500.0,0.9636,0.971,0.00033728999842423945,1.1806823899998562,0.0061792950044036845
sqrtreg,1000,20,32000.0,0.9735,0.9793499999999999,0.0009717399967485108,1.8702287249994698,0.017163050001545343
