graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,204,0.0816,4.0,4.08,8,3.5936,0.2634803921568627,0.08,0,50740787,48,42,42,39.0,39.0,34.604666030450346,case1,39,0.0,0.0,56.77745023910813,22,110,110,266,0.7,2,93,0.875,0.875,0.8125,-9.0,-0.1875,1.5199999324977398e-05,9.000010322779417e-06,0.006380299979355186,0.0004611000185832381,0.0006625999812968075,0.005190600000787526,6.59999786876142e-05,0.0006749000167474151
er,50,50,100,224,0.0896,4.0,4.48,11,4.3896,0.2584821428571429,0.08,1,50750787,49,43,42,41.0,41.0,35.18920074264809,case1,41,0.0,0.0,53.94297924934704,18,90,90,254,0.7,2,93,0.8775510204081632,0.8571428571428571,0.8367346938775511,-8.0,-0.16326530612244897,1.379998866468668e-05,1.1600001016631722e-05,0.005425399984233081,0.0003683999821078032,0.000506000011228025,0.0044800000032410026,7.09999876562506e-05,0.00022360001457855105
er,50,50,100,182,0.0728,4.0,3.64,8,3.1904,0.27560439560439565,0.08,2,50760787,46,40,41,41.0,41.0,33.16937948926734,case1,41,0.0,0.0,44.19041952238457,18,90,90,254,0.7,2,93,0.8695652173913043,0.8913043478260869,0.8913043478260869,-5.0,-0.10869565217391304,9.700015652924776e-06,9.199982741847634e-06,0.006519799993839115,0.0003782999992836267,0.0008991999784484506,0.005190600000787526,5.1700015319511294e-05,0.0002038000093307346
er,50,50,100,196,0.0784,4.0,3.92,9,2.8536,0.2382142857142857,0.08,3,50770787,49,44,40,43.0,43.0,31.96346547537114,case1,43,0.0,0.0,32.71089733808424,14,70,70,242,0.7,2,93,0.8979591836734694,0.8163265306122449,0.8775510204081632,-6.0,-0.12244897959183673,9.599985787644982e-06,8.200004231184721e-06,0.0043258999940007925,0.0003163999936077744,0.0004461999924387783,0.003514799987897277,4.850002005696297e-05,0.00019720001728273928
er,50,50,100,185,0.074,4.0,3.7,7,2.65,0.2464864864864864,0.08,4,50780787,49,43,40,44.0,44.0,31.866789123798004,case1,44,0.0,0.0,29.41567549508082,12,60,60,236,0.7,2,93,0.8775510204081632,0.8163265306122449,0.8979591836734694,-5.0,-0.10204081632653061,1.0799994925037026e-05,8.399976650252938e-06,0.004211999999824911,0.00025460001779720187,0.0004375999851617962,0.003451099997619167,6.86999992467463e-05,0.0004914000164717436
er,50,50,100,181,0.0724,4.0,3.62,8,2.9156,0.26281767955801105,0.08,5,50790787,48,41,42,42.0,42.0,32.47788963473011,case1,42,0.0,0.0,38.02318402750402,16,80,80,248,0.7,2,93,0.8541666666666666,0.875,0.875,-6.0,-0.125,1.09999964479357e-05,9.99998883344233e-06,0.005484099994646385,0.00048749998677521944,0.0006455999973695725,0.004255000007105991,9.600000339560211e-05,0.00020060001406818628
er,50,50,100,186,0.0744,4.0,3.72,9,3.7615999999999996,0.2920430107526881,0.08,6,50800787,49,38,37,38.0,38.0,34.094512444656075,case1,38,0.0,0.0,57.1426379524187,24,120,120,272,0.7,2,93,0.7755102040816326,0.7551020408163265,0.7755102040816326,-11.0,-0.22448979591836735,1.0099989594891667e-05,8.600007276982069e-06,0.0052217000047676265,0.0005030000174883753,0.0004847999953199178,0.004181900003459305,5.199998850002885e-05,0.00023870001314207911
er,50,50,100,180,0.072,4.0,3.6,8,3.3400000000000003,0.28755555555555556,0.08,7,50810787,48,43,41,42.0,42.0,32.03964320355038,case1,42,0.0,0.0,35.907143071872625,16,80,80,248,0.7,2,93,0.8958333333333334,0.8541666666666666,0.875,-6.0,-0.125,1.4199991710484028e-05,8.300004992634058e-06,0.0063402000232599676,0.0003218000056222081,0.000471699982881546,0.005482200009282678,6.450002547353506e-05,0.0002932000206783414
er,50,50,100,207,0.0828,4.0,4.14,12,4.3404,0.2751207729468599,0.08,8,50820787,47,44,41,43.0,43.0,32.861517234748305,case1,43,0.0,0.0,37.04707481248696,14,70,70,242,0.7,2,93,0.9361702127659575,0.8723404255319149,0.9148936170212766,-4.0,-0.0851063829787234,1.8099992303177714e-05,1.0299991117790341e-05,0.004713600006652996,0.0003026000049430877,0.0009768000163603574,0.0033251999993808568,0.00010899998596869409,0.00023049997980706394
er,50,50,100,201,0.0804,4.0,4.02,11,4.5396,0.29666666666666663,0.08,9,50830787,48,42,36,41.0,41.0,32.76541523859119,case1,41,0.0,0.0,42.23990757699208,18,90,90,254,0.7,2,93,0.875,0.75,0.8541666666666666,-7.0,-0.14583333333333334,1.4199991710484028e-05,9.000010322779417e-06,0.004231699975207448,0.0003285999991931021,0.00047019997145980597,0.0033623000199440867,7.059998461045325e-05,0.0006346000009216368
